$ ps -axo pid,ppid,pcpu,pmem,rss,vsz,etime,state,comm,args | awk 'NR==1 || /\/Users\/Michael\/Code\/agent-os\/aos serve/ || /com\.apple\.WebKit/'
  PID  PPID  %CPU %MEM    RSS      VSZ  ELAPSED STAT COMM             ARGS
47618     1   0.0  0.1   8928 439780000    24:37 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
47620     1   0.0  0.1  12160 439717008    24:37 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
47621     1   0.0  0.0   6384 507659504    24:37 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
47761     1   0.0  0.0   2976 507365840    24:00 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65507     1   1.4  0.4  64768 440569520    03:56 S    /Users/Michael/C /Users/Michael/Code/agent-os/aos serve --idle-timeout none
65525     1   0.0  0.1  16800 440727328    03:48 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
65545     1   0.0  0.1  11040 439726656    03:47 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
65549     1   0.0  0.1  20272 507371296    03:46 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65561     1   0.0  0.1  18336 507370080    03:42 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65567     1   0.0  0.1  18784 507375680    03:41 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65568     1   0.0  0.1  20416 507596656    03:41 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65587     1   0.0  0.1  18768 507363136    03:38 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65589     1   0.0  0.1  18768 507362736    03:38 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65595     1   0.0  0.1  18144 507373792    03:36 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65598     1   0.0  0.1  18192 507374928    03:36 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
65599     1   0.0  0.1  19984 507382464    03:36 Ss   /System/Library/ /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
